,predicted headline,actual headline
432,Comey’s Recommendation Is a Blow to Hillary Clinton.,F.B.I. Director James Comey Recommends No Charges for Hillary Clinton on Email
433,Theresa May’s Brexit Plan Is a ’Sharia Court’.,Better a Cocker Spaniel as Prime Minister than Theresa May...
434,"Roger Ailes, Roger Ailes, Roger Ailes: The Trump-Russia Story Is a ‘Scandal’.",Fox News’s Convention Moment Overshadowed by Struggle Over Ailes’s Fate
435,quake off Chile: Watch for tsunami.,Magnitude 7.7 earthquake hits off Chilean coast
436,Planned Parenthood to ’Feel the Groundswell of Support from Our Movement’ - Breitbart.,Planned Parenthood #PinkOut: ‘Turn the Whole Internet Planned Parenthood Pink’
437,Poll: 50 Percent of Americans Believe Hillary Clinton Is Healthy Enough to Be Commander-in-Chief - Breitbart.,Poll: Half the Country Not Sure Hillary Clinton Healthy Enough to Be President - Breitbart
438,Belgian man accused of carrying out November’s Paris attacks is a ’little moron from Molenbeek’.,The lawyer for the sole surviving suspected Paris attacker had some surprising things to say about his client
439,Donald Trump’s Syria War: The New Faces of the Free World - Breitbart.,"RABBI SHMULEY: In Syria, Trump Restores America’s Human Rights Leadership - Breitbart"
440,Mattis: Iran ’Appears to Be Living Up to Their Part of the Agreement’.,Defense Secretary James Mattis in Israel: Iran Deal ‘Still Stands’
441,The man who became New York’s most famous public figure was a man who was a,"If you want to understand Trump, look at his early relationship with the man he has called his best friend"
442,"Trump: ’You’re living in poverty, your schools are no good’.",Trump and African-Americans on the trail
443,Trump’s Surge Is a Sign of the End of the Republican Party.,Donald Trump’s Slip in Polls Has G.O.P. Worried About Congress
444,Radiohead’s ‘Kid A’ Is a Song About Death.,"‘Westworld’ Season 1, Episode 6: The Tipping Point"
445,Chuck Todd: We Are All to Blame for Alexandria Shooting - Breitbart.,Chuck Todd on VA Shooting: ‘We Are All to Blame’ for the ‘Toxic Stew’ of Political Discourse - Breitbart
446,UC Davis Students Post Fake Rape Plaque.,FAKE NEWS: UC Davis Leftists Post Anti-MILO Posters Featuring Fake Rape Quote - Breitbart
447,French Election: Melenchon Rises in Polls.,France Election: Far-Left Melenchon Enjoys Late Poll Surge
448,U.S. Open: U.S. Open: U.S. Open: U.S. Open: U.S. Open: U.,Four Sit Atop a Crowded Leaderboard at U.S. Open - Breitbart
449,Trump to reshape Supreme Court.,How Trump can reshape the federal courts
450,Wonder Woman Specials: ’No Guys’ for Women’ - Breitbart.,’Women Only’ Screenings of ’Wonder Woman’ to Benefit Planned Parenthood
451,"Donald Trump, Hillary Clinton, Aleppo: Your Wednesday Evening Briefing.","Sessions, Trump, Dylann Roof: Your Tuesday Evening Briefing"
452,Gorsuch’s Death Is a Sign of the Trump-Gore-Trump Era.,"In Judge Neil Gorsuch, an Echo of Scalia in Philosophy and Style"
453,Syrian Migrant Arrested for ’Funding Islamic State’.,"Syrian Migrant ’Asked Islamic State for €180,000 to Fund Car-Bombing Campaign’"
454,Rock Endorses Donald Trump for President - Breitbart.,Kid Rock Endorses Trump to Run U.S. Like a Business: No Business Survives if It’s ’F**king Broke’
455,"Female Genital Mutilation Record 5,700 Cases in One Year.","British Doctors Faced With 5,700 Cases Of Female Genital Mutilation In One Year"
456,"Reality Shows Are ‘Dumb,’ ‘Dumb,’ ‘Dumb’.",The New Reality TV
457,Glenn Beck: Trump ’Born’ in the United States Due to the Constitution - Breitbart.,"Glenn Beck at CPAC: Compares Trump to Film Villain, Claims Industrial Revolution Started in America Because of Constitution"
458,Dzhokhar Tsarnaev’s fate: What we know.,Tsarnaev arrives at Colorado prison
459,"Dilma Rousseff: ’There Has Been, Mixed Up in All of This, a Great Illegality’.",Brazil’s President Dilma Rousseff: My Impeachment Is Sexist
460,"White House condemns Baghdad bombings, calls for more airstrikes on ISIS.",’He chose the perfect time to cause casualties’: At least 140 killed in central Baghdad suicide bombing
461,Chris Murphy: I Have Low Expectations for Trump’s First Trip abroad.,Democrat Lawmaker’s ’Low Expectations’ for Trump’s Overseas Trip: No ’International Crisis’ or ’War’
462,Minnesota football team threatens to skip bowl game.,Minnesota football players protest suspensions
463,"Donald Trump’s Trump Water, Trump Wine are featured at his victory speech.",Trump paraded raw steaks and assorted ’Trump’ products out during his victory speech
464,’The Reckoning’: How to Defeat Trump - Breitbart.,WATCH: GOP Establishment Elites Discuss How to Stop Trump -- ’All He Has Going for Him Is a Lot of Votes’
465,Chicago school shooting: What happened?.,NBA star Dwyane Wade’s cousin shot in Chicago
466,Trump’s Ethics Complaints Are ’A Serious Mistake’ - Breitbart.,Fake Scandal: Any Senator or Government Official Can Pull Money from a Blind Trust Without Ever Telling Anyone - Breitbart
467,Trump to Hold Private Meeting with Japan’s Prime Minister Shinzo Abe.,"Trump to Meet with Japan’s Prime Minister, Spoke with 32 Foreign Leaders - Breitbart"
468,Trump says he’s ’not going to pay taxes for 18 years’.,Donald Trump is trying out a new defense for allegedly not paying his federal income taxes
469,White House press secretary Sean Spicer returns to ’SNL’ as White House Press Secretary.,Melissa McCarthy returns to ’SNL’ as Sean Spicer in an Easter Bunny costume
470,Kiki and Herb Cabaret Show Is a New Thing.,"Kiki and Herb: Kitsch, With a Whisky Chaser"
471,"Melania Trump, Donald Trump, Melania Trump: Your guide.",What we learned about Melania Trump from her first international trip
472,Carville: Comey Is Acting in Concert and Coordination with House Republicans - Breitbart.,Carville: Comey ’Acting in Concert and Coordination’ with House GOP - Breitbart
473,Moody’s Analytics: Trump’s Economic Policies Would Be ‘Long-Term’.,Would a Trump Presidency Mean Economic Disaster? Let’s Take a Look
474,How to prevent your customers from stealing your passwords.,The FTC’s chief technologist explains why changing your password actually makes your personal data less secure
475,"Donald Trump, Hillary Clinton, Russia: Your Friday Evening Briefing.","Your Evening Briefing: Hillary Clinton, Donald Trump, Cultural Revolution"
476,Human Rights Commission: Mexico ’tragic’ and ’Unprecedented’.,Shock Report: 98 Percent of Crime in Mexico Goes Unpunished - Breitbart
477,Donald Trump to Step Down as FCC Chairman - Breitbart.,Tom Wheeler to Step Down as FCC Chairman on Day of Trump’s Inauguration - Breitbart
478,Warren Buffett says Trump’s budget is about to make the federal budget look more dynamic.,"BUFFETT: ’Be very, very, very suspicious’ of a budget trick Trump is about to use"
479,Sweden’s Migrant Crisis: A Social Worker’s Murder.,Geller: Europe’s Civil War Breaks Out: The Battle for Stockholm’s Train Station - Breitbart
480,Schumer: ’I’m not going to let you get away with it’.,How far will Schumer go over Supreme Court?
481,"Trump threatens to stop German car sales in US, German publication says.",Trump reportedly slammed German carmakers and threatened to stop their sales in the US
482,Clay Travis: Lena Dunham ’Cultural Appropriation’ Is ’Cultural Appropriation’ - Breitbart.,FS1’s Clay Travis Rips Lena Dunham - ’I Hate This Bitch’ - Breitbart
483,Panama Papers: North Korea’s Daedong Credit Bank Was ’A Bit of a Disaster’ - Breitbart.,North Korea Suffers Massive Internet Outage as Panama Papers Story Breaks - Breitbart
484,- Breitbart Texas: Dallas Police Officers Killed in Dallas.,A Nation Gathers to Honor 5 Slain Dallas-Area Police Officers
485,What happened to a Sikh man?.,Sikh man’s shooting in Washington investigated as hate crime
486,NYPD: ISIS threat ’relevant’.,"Though threat not new, ISIS urges followers to rise up"
487,Mexican Construction Worker Hangs Mexican Flag from Trump International Hotel.,Hotel Worker Hangs Mexican Flag from Trump Hotel in Canada
488,Here’s what we know about Hermine’s path to Florida.,The tropical storm that’s churning toward Florida and could move up the East Coast ’has a mind of its own’
489,The Hill: Police Killings of Officers Up 300 Percent Since Last Year.,Report: Ambush Killings of Police Soar in 2016 - Breitbart
490,N.F.L. Player Joe McKnight Is Charged with Manslaughter.,Joe McKnight Shooting: Man Is Charged Days Later in Fatal ‘Road Rage’
491,The Sunday Times just dropped its highly anticipated list of the world’s billionaires.,The 33 richest people on earth
492,John Bolton: Obama’s Jerusalem Release Was ’Thumb in the Eye’ to Netanyahu - Breitbart.,John Bolton: Obama Administration Denying Jerusalem Is in Israel Was ‘Thumb in the Eye to Bibi Netanyahu’ - Breitbart
493,Trump: Putin ’very smart’ for withholding sanctions.,Trump: Putin ’very smart’ for decision to withhold sanctions
494,Marlon Brando: ’I’m Not a Victim’ of Sex Abuse - Breitbart.,"Revealed: Brando’s ""Insatiable Sexual Appetite"" Drove Lover Rita Moreno to Suicide"
495,Tom Brady Bowing Out of White House Visit to White House - Breitbart.,Super Bowl Champion Tom Brady Skipping White House Visit Over ’Family’ Issues - Breitbart
496,"GOP congressman: If Trump were a Democrat, there would be more backlash.",Former congressman calls out fellow Republicans for defending Trump
497,Kaepernick’s Protest of ‘The Banner’ Is a Racial Issue.,Is the National Anthem Racist? Beyond the Debate Over Colin Kaepernick
498,Donald Trump: ’I Shot a Rifle with Sheriff Darren Campbell’ - Breitbart.,Donald Trump Shoots AR-15 with North Carolina Law Enforcement - Breitbart
499,Gorsuch’s final day of testimony.,"While partisans fight, Gorsuch glides through hearings Day 3"
500,Birthrate in Austria Falls to Record High.,Adult Baptisms Skyrocket Due To Migrant Conversions
501,Gwyneth Paltrow: I’m not prim and proper.,Gwyneth Paltrow lives clean but likes her humor dirty
502,Obama: ’We’re going to get white support’.,"On farewell interview tour, Obama gets candid on race"
503,Man Group’s Man Group is up 7.75% in just one month.,A little-known hedge fund is quietly killing it
504,YG to Tour of Trump-Faced California Rapper.,Rapper YG to Embark on ‘F*ck Donald Trump Tour’ - Breitbart
505,Colin Kaepernick’s ’Never’ Registered to Vote’ - Breitbart.,Colin Kaepernick Never Even Registered to Vote - Breitbart
506,NBCUniversal to Acquire DreamWorks Animation in $3.8 Billion Deal - Breitbart.,Comcast’s NBCUniversal to Acquire DreamWorks Animation for $3.8 Billion - Breitbart
507,Mark Cuban: Trump’s NBA pick is a ’shark tank’.,CUBAN: ’Trump is our No. 1 draft pick’
508,Pope Francis Visits Egypt to Support Christians.,Pope’s Timely Egypt Visit Comforts Grief-Stricken Middle East Christians
509,Man Suffers Stabbing to Face After Accusing Vikings of ’Racist’.,Fan Stabbed by Wisconsin Vandal Who Slashed His Vikings Inflatable - Breitbart
510,Putin: Trump ’Doesn’t Know’ Putin’s Dog Behavior - Breitbart.,"Vladimir Putin, Hillary Clinton Super PAC Respond to Donald Trump Barking Campaign Ad - Breitbart"
511,Volcano erupts in Argentina.,More activity expected from Calbuco Volcano in Chile
512,’Dark Web’: FBI Will Not Reveal Child Porn Sites.,Evidence In Child Porn Case Thrown Out Because FBI Won’t Disclose Hacking Methods - Breitbart
513,"Donald Trump: Megyn Kelly a ’Lightweight’ Reporter, ’Third Rate Reporter’ - Breitbart.",Donald Trump: ’Probably Won’t Be Doing the Debate’ with ’Third Rate Reporter’ Megyn Kelly - Breitbart
514,Breitbart News Daily: ’What America Needs’ - Breitbart.,Breitbart News Daily - Bill Clinton’s Women and ’The Case for Trump’ - Breitbart
515,Hitler’s Birthplace Is a ‘Dangerous Place’.,Austria Seizes Hitler’s House to Keep From Neo-Nazis-BBC - Breitbart
516,Macron’s centrist party wins big in French Parliament.,Macron on track for huge parliamentary majority
517,Top Republicans say they trust the Justice Department to handle Clinton email probe.,"GOP senators McCain, Graham say they accept DOJ’s ruling on Clinton’s case"
518,Jeni Stepien’s Father’s Heart Helped Me Reach the Top of the World.,Bride Is Walked Down Aisle by the Man Who Got Her Father’s Donated Heart
519,"Hillary Clinton to Attend California Rally, Rally, and Rally - Breitbart.",Hillary Clinton to Raise Cash in California This Week - Breitbart
520,T.O.P’s Instagram followers: ’I’m a collector’.,T.O.P curates Sotheby’s auction #TTTOP
521,Trump’s closest allies warn him against picking Mitt Romney as secretary of state.,Top Trump allies warn president-elect against selecting Romney for secretary of state
522,Mike Pence’s ties to Kochs and other wealthy donors.,Pence unlikely to open donor floodgates to Trump
523,Soros’ Open Society Institute: Baltimore ’Open to’ ’Accountability’ for Freddie Gray.,"Hacked Soros Memo: $650,000 to Black Lives Matter"
524,Expert Witnesses: Islamic State’s Antiques Are ’Lossed’ in Europe.,Islamic State Committing ’Cultural Genocide’ Selling Antiques
525,Live goldfish kill fish.,Dumped goldfish turn into giants in Canadian waters
526,"Theresa May has been given the power to trigger Article 50, and the UK is now in the cross hairs.",Theresa May now has the power to trigger Article 50 after the Brexit bill passes
527,Tulsi Gabbard: ’Fear Is Driving Decision-Making’ in Washington - Breitbart.,Dem Rep Gabbard: ’Lot of Fear’ of Consequences ’Going Against the So-Called Clinton Machine’ In Washington - Breitbart
528,Trump’s refusal to endorse Ryan has infuriated GOP leaders.,BOILING POINT: Reports of GOP turmoil swirl as Trump goes rogue
529,Harvard Law Professor Larry Lessig: ’Only a Handful’ of Electors Will Vote Against Donald Trump - Breitbart.,EXCLUSIVE – Activist Larry Lessig Concedes Efforts to Turn Electoral College Against Trump on Road to Failure - Breitbart
530,The mall shooting: What happened in Little Rock?.,Arkansas child killing: 911 tapes capture grandmother’s agony
531,"Police Apologize for Mistreatment of Blacks, Hispanics.",Official Apologizes for Police Role in Mistrust by Minorities
532,Conway: Trump ’Fullly Confident’ He Will Win in Court - Breitbart.,Conway: Merits of Executive Order Will Prevail in Court - Breitbart
533,"Gerald Horne: America Must ’Respect’ Pledge of Allegiance, Sing National Anthem - Breitbart.",University of Houston Professor: Pledge of Allegiance and National Anthem Glosses Over ’Racist History’ - Breitbart
534,The Chinese girls’s feet are a passport to a better life.,"Work, not sex? The real reason Chinese women bound their feet"
535,"NYPD Detective Steven McDonald’s Son, Father, and Friends Reach End.",Paralyzed NYPD Detective Who Forgave Shooter Remembered as Hero - Breitbart
536,Italian Reporter: ‘ Elena Ferrante’ Behind Elena Ferrante’s Alleged Murder.,Who Is the Real Elena Ferrante? Italian Journalist Reveals His Answer
537,Poland’s President: ’Public’s Voice Will Be Heard’.,Poland Vows Referendum on Migrant Quota Amidst EU Pressure: ’The Public’s Voice Will Be Heard’ - Breitbart
538,Bridgewater’s CEO and head of recruiting have a meeting about the company’s lack of reliability.,A recorded dispute between Ray Dalio and another Bridgewater executive shows how unusual life is at the world’s biggest hedge fund
539,The FBI and the CIA are backing a CIA assessment that Russia interfered in the US election.,FBI agrees with CIA assessment that Russia meddled in the US election to help Trump win
540,Snapchat’s Spectacles glasses are already selling for hundreds of dollars.,People are already reselling Snapchat’s Spectacles for hundreds of dollars
541,Adele Photos: London Fire Dept. Postes Firefighter’s Coffee with Firefighters.,Adele Visits London Firefighters after Tower Block Blaze
542,UC Irvine College Republicans Suspended for Milo Yiannopoulos Show - Breitbart.,Ariana Rowlands On The Milo Show: Why Sanders Fans Backed The College Republicans - Breitbart
543,The Guggenheim’s Is the Hardest to See.,The Guggenheim’s Greatest Hits Come Roaring Back
544,"Roof’s killer: A pastor, church leaders.",Charleston shooting: Clementa Pinckney among victims
545,The best hotels in the US are closing.,Wealthy Americans have a new attitude about traveling — and it should terrify hotel chains
546,Trump’s Immigration Policy Is a ‘Dangerous’ Thing.,Donald Trump’s Surrogates Back Off ‘Deportation Force’ for Illegal Immigrants
547,Hurricane Matthew Is a Warning for Africa.,Scenes From Hurricane Matthew’s Capricious Path
548,NYT: Trump’s ’New York Times’ Is a ’New York Times’ - Breitbart.,"NYTIMES: In Donald Trump’s Worldview, America Comes First, and Everybody Else Pays - Breitbart"
549,Obama Warns Americans: ‘We Don’t Know the Motive of the Killer’ - Breitbart.,Obama Warns Republicans After Baton Rouge Attack: ‘We Don’t Need Inflammatory Rhetoric’ - Breitbart
550,"Rory McIlroy, Rory McIlroy, Rory McIlroy: Your guide.",Jason Day to miss Rio Olympics over Zika virus scare
551,Iran’s ‘Great False Idol’ Is Now a ‘Primary False Idol’.,Iran’s Supreme Leader Downgrades US from ’Great Satan’ to ’Great False Idol’
552,"Kevin McCarthy says he thinks Trump is being paid by Putin, but he’s not sure he’s being paid by him.",House Majority Leader told Republicans in 2016 he thought Putin was paying Trump
553,Jewish-American Congressman: Hillary Clinton Will Use ’Bernie Sanders’ as a Campaign Tactics.,Paper: Hillary Plans to Attack Sanders on Israel
554,Fox News’ parent company is going to investigate Lisa Bloom’s ’Reliable Sources’ lawsuit.,Fox is opening an investigation into accusations of sexual harassment against Bill O’Reilly
555,Gary Byrne’s ’Clinton Cash’ Review: Hillary Clinton’s ’Clinton Cash’ Review Top Book of June - Breitbart.,Exclusive - Secret Service Officer Gary Byrne Calls for Media to Drop Hillary Clinton Pushed Blackout as He Tops NYT Bestseller List Without Them - Breitbart
556,Sheriff: ’Sanctuary Cities Are Going to Harbor and Conceal Criminal Illegal Aliens’.,Thomas Hodgson: Arrest Officials from Sanctuary Cities ’This Is All About Following Our Laws’
557,"Democrats Need to Win in 2018, and They’ll Have to Win in 2020.",Democrats Are Bad at Midterm Turnout. That Seems Ready to Change.
558,"American Model, Model of Courage, Dies at 86.","China Machado, Breakthrough Model Until the End, Dies at 86"
559,Hillary Clinton Campaign: ’We’re Better Than This’ - Breitbart.,A ‘Monster’ — Trump’s Immigration Speech Sparks Fear And Loathing In The Clinton Campaign - Breitbart
560,School Accused of ’Private Hell’ for Students.,‘Private Hell’: Prep School Sex Abuse Inquiry Paints Grim Picture
561,Warriors win NBA title.,Golden State Warriors NBA champions after downing Cavs
562,"FBI, DHS Warned of Islamic State Attacks.","FBI: Islamic State Jihadis Targeting Theaters, Churches"
563,Ivy League admissions decisions come out on Thursday.,RANKED: Ivy League universities from most to least selective
564,Michael Flynn discussed removing a controversial cleric from US soil in a meeting with Turkish ministers.,’You don’t haul somebody overseas’: Ex CIA director says Michael Flynn may have gone too far in a meeting with Turkish officials
565,Pipeline protests intensify in North Dakota.,Tribe files emergency request to stop Dakota Access Pipeline construction
566,"CNN’s Don Lemon Chugged Tequila, Launches Into Rant About ’Awful’ 2016 - Breitbart.",’Drunk Don Lemon’: CNN Cuts Mic During New Year’s Eve Show
567,Trump: ’We don’t know anything about Hillary’s religion’.,Trump questions Clinton over faith
568,U.S. Launches Weapons to Prepare for Raqqa Battle.,Turkey: US Arms Shipments to Syrian Kurds Endanger ’All Humanity’
569,Here’s what Richard Feynman really knew about the world’s most famous physicist.,A Nobel Prize winner’s 3-step plan to mastering any subject
570,"Brazilian Reporter: I’m a ’Fullfilled, Happy Woman’ After Abortion.",Journalist with Microcephaly: Call to Abort Zika Babies ’Personally Offended Me’ - Breitbart
571,Facebook made some big changes to its Trending Topics page today.,Facebook reportedly fired a team involved in news stories — with an hour’s notice
572,The best wallet for guys who want to keep things simple.,People are so excited about this wallet that it’s become the biggest one in Kickstarter history
573,Report: Trump’s Plan to Make America Great Again: ’We’re Going to Make America Great Again’ - Breitbart.,"Internal BLM Memo Leaked: Trump’s Plan to Make America Great by Expediting Oil, Gas Production, Increasing Border Security, and Creating Jobs"
574,Robert Reich: Trump ’a bully’.,Reich to Trump: Stop acting ’thin-skinned and vindictive’
575,5 teens arrested in Jewish cemetery desecrate.,French PM promises justice in Jewish cemetery attack
576,Nier: Automata: Nier: Automata - Playstation 4 - March 7 - Breitbart.,’NieR: Automata’ – ’Glory to Mankind’ Trailer - Breitbart
577,Pence to Visit Capitol Hill for Possible DeVos Vote - Breitbart.,Vice President Pence Will Attend Potential Tie-Break Senate Vote on Betsy DeVos
578,The civil rights movement in Alabama.,A young ballclub barnstorms the Deep South
579,ESPN’s ’Sailing Ship’: ESPN Is a ’Sailing Ship’ - Breitbart.,"Massive ESPN Financial, Subscriber Losses Drag Down Disney’s First-Quarter Sales - Breitbart"
580,Chechen opposition figure dies after shootout with police.,Report: 6th suspect in Nemtsov killing dies in suicide
581,The US is planning to strike North Korea with a new warhead.,Here’s why the US would have to be insane to attack North Korea
582,Scottish independence referendum: What we know.,Scottish referendum in doubt after steep losses for SNP in UK vote
583,"Man Accused of Shooting at Passing Cars, Police Say, in Tennessee: ’I’m Angry About Police Violence’ - Breitbart.",Tennessee Bureau of Investigation: Black Man Fired at Police Officers on Highway - Breitbart
584,"Netflix Drops 50% Since 2012, Report Says.",Netflix Content Shrinks over 50% Since 2012 - Breitbart
585,Ben Carson Apologizes to Ted Cruz for His Campaign’s Behavior in Iowa - Breitbart.,Ted Cruz Requests Private Meeting With Ben Carson - Breitbart
586,Santorum: Media Is ’Only Talking About An entertainer’ - Breitbart.,Santorum: The Media Is Ignoring Me for an ‘Entertainer’ - Breitbart
587,Aleppo: What’s next for the Syrian army.,Rebel coalition breaks siege of Aleppo
588,Woman Wants to Be a Feminist: ’I Had an Abortion on Good Friday’ - Breitbart.,"WATCH: Milo &amp Ann Protester Brags About Abortion On Good Friday, Feminists Cheer - Breitbart"
589,Gun Sales Surge as Gun Sales Surge.,"Americans Bought ’17,850 Tons’ of Imported Ammo in Last 12 Months - Breitbart"
590,Anne Applebaum: ’The Rise of the Populist Forces’ Is ’The Rise of the Populist Forces’ - Breitbart.,WaPo’s Anne Applebaum Embarks On Kremlin-Style Disinformation Offensive vs. the Anti-Globalist Right
591,The world’s biggest hedge fund is about to get a big change.,A new breed of trader is threatening the Wall Street establishment
592,CNN’s Tapper: Hillary Clinton’s Claim of Comey’s Testimony Was a False Claim - Breitbart.,"CNN’s Tapper: Hillary’s Claim That Comey Said Her Email Statements Were True Is Wrong, You’re Not Entitled To ’Your Own Facts’ - Breitbart"
593,Kasich: ’I’m Going to Consider Merrick Garland’ - Breitbart.,Kasich Would Consider Nominating Garland for Supreme Court - Breitbart
594,Michael Wolff: ’The Publishing Business Is a Business’ - Breitbart.,Michael Wolff on MILO’s ’Dangerous’: Publishing Is a Business - Breitbart
595,Orlando Terrorist Posts Facebook Status Just Moments Before Orlando Attack - Breitbart.,Omar Mateen’s Facebook Status Hints More ISIS Attacks to Come
596,House Oversight and Government Reform Committee Passes Bill to Audit Fed - Breitbart.,"Exclusive-Congressman Massie: ’We Need to Audit the Fed, It’s a Creature of the Swamp’ - Breitbart"
597,Marco Rubio Hits the Re reset Button on His Campaign - Breitbart.,"In Miami Debate, Marco Rubio Abandons Trump Attacks And Cheap Stunts - Breitbart"
598,Nobel Prize in Economic Science: A New Way to Work.,Oliver Hart and Bengt Holmstrom Win Nobel in Economics for Work on Contracts
599,"Kamasi Washington, the New Jazz Singer, Is the New Jazz Singer.",Kamasi Washington Follows ‘The Epic’ With a New Work in Whitney Biennial
600,Alyssa Renee Ramirez’s prom night.,"Over 25 killed in storms in Texas, Oklahoma, Mexico"
601,Donald Trump’s problem with the upcoming presidential debate schedule is a problem with the NFL.,Donald Trump accuses Democrats of trying to ’rig’ upcoming debates with Hillary Clinton
602,Limbaugh: Trump ’Should Not Be Taken as a Message That We Should Reach Across the aisle’ - Breitbart.,Limbaugh: Big Government Liberalism Was Told to Go to Hell - Breitbart
603,"Leonard Moore, Second World War Submarine, Is Dead.",Times: Dying War Veteran’s Final Wish: ‘Post My Leave Vote’ - Breitbart
604,Families of Americans detained in Iran demand safe return.,"Tears, outrage at hearing on detained Americans"
605,Kaine: I Would Not Have Used ’Basket of Disgusting’ Words - Breitbart.,Kaine: I Wouldn’t Have Used The Word Irredeemable When Describing Trump Supporters - Breitbart
606,Easter is a good time to celebrate.,Easter by the numbers
607,Brazil’s Prison Riot: ‘Blood Is Paid for with Blood’.,Dozens of Inmates Killed as Prison Violence Escalates in Brazil
608,Apple just kicked off its annual conference for developers and app creators.,LIVE: Apple’s biggest conference of the year is here — get ready for new products
609,Traveling in Canada: What’s the Deal with 360 Videos Online at Nytimes.,How We Put Together Our 52 Places to Go List
610,China’s New Homes Are a ‘Shining Star’.,"In China, Homeowners Find Themselves in a Land of Doubt"
611,The Secret of the Mexican Election.,Cyberwar for Sale
612,Joy Behar: Trump ’The Most Dangerous Man Alive Right Now’ - Breitbart.,‘The View’ Co-host Joy Behar: Trump Is ‘The Most Dangerous Man Alive’ - Breitbart
613,"Charlie Hebdo Attacker’s Father, Father, Mother, and Brother Were Killed in France.",Manhunt for terror suspects in France
614,"Firefighters evacuate 2,000 homes in California.",Hundreds flee Santa Clarita wildfire
615,LeBron James: ’That’s Not Trash Talk’ - Breitbart.,LeBron James: Trump’s Comments Not ’Locker Room Talk’ - ’That’s Trash Talk’ - Breitbart
616,Anti-Trump Activists Reach New Low on Twitter.,Town Hall Protesters Mock Death of GOP Lawmaker’s Special Needs Daughter - Breitbart
617,Walker: Pence’s ’Job’ Will Be to Quickly Dismiss Attacks on Trump - Breitbart.,Scott Walker: Pence’s ’Job’ Will Be to ’Quickly Dismiss’ Attacks on Trump - Breitbart
618,Trump’s Russia probe: What we know.,Trump defiant as pressure grows
619,Brookings Institution: 15 Million People Could Lose Coverage Under Paul Ryan’s American Health Care Act - Breitbart.,Report: Paul Ryan’s Plan Could Force 15 Million People to Lose Health Coverage
620,The worst year ever for pop.,2016: The year the music died
621,The stock market is in a ’fear of terrorism’.,The No. 1 fear for investors a month ago has now become reality
622,Republicans introduce health care bill to repeal Obamacare.,Republicans unveil bill to repeal Obamacare
623,White House: ’We’re Going to Be Here Before 8 a.m.’.,Obama’s Father’s Day Trip Disrupts Yosemite Travel - Breitbart
624,Trump Defends Ryancare: ’Fake News’ Is ’Dead’ - Breitbart.,"Trump Tweets, Vowing Obamacare Isn’t Safe Yet - Breitbart"
625,"Obama: Globalism Will Continue Growing, ’We Will Not Be Afraid’ - Breitbart.","At United Nations, Globalist Obama Condemns ’Crude Populism’ Sweeping the Planet - Breitbart"
626,Trump’s Mount Rushmore.,Help Wanted: Trump Betting Expert for Gambling Website
627,A $3.7 billion hedge fund has some insight on how to hire top talent.,"A $3.7 billion hedge fund interviewed dozens of job candidates, and what it discovered was damning"
628,Sanders: We’re Going to Extend Obama’s Illegal Immigration Policies - Breitbart.,"Hillary Clinton, Bernie Sanders Promise Not to Deport Most Illegals, Younger Migrants - Breitbart"
629,Gawker.com Shut Down After Univision Purchases Gawker.,"Gawker Ceases Operations, Posts Goodbyes - Breitbart"
630,Fidel Castro’s warning to the US was ’imminent’.,Fidel Castro once asked the leader of the Soviet Union to annihilate the US with nuclear weapons
631,The Smite World Championship: The Final Showdown - Breitbart.,’SMITE’ World Championship Day 1: First Round Rumble - Breitbart
632,Celebrity moments from 2016.,From divorces and robberies to the stars we lost: Here are 2016’s top 10 celeb stories
633,University of Virginia Professor Calls Black Lives Matter ’Klan’ - Breitbart.,Professor Goes on Leave After Comparing Black Lives Matter to KKK - Breitbart
634,"Burqa Ban Approved in Germany, Security Measures Aimed at Preventing Radical Attacks.","German MPs Approve Partial Burqa Ban, Security Measures"
635,Andrea Mitchell: ’I’m Not a Victim of Bill Clinton’ - Breitbart.,Rape-Denier Andrea Mitchell Shames Bernie Sanders For Criticizing Bill Clinton - Breitbart
636,"Katie Prager, wife in ’Fault in Our Stars’ couple dies.",’Fault in Our Stars’: Katie Prager dies
637,Clint Eastwood’s ’High Plains Drifter’ star Geoffrey Lewis dies.,"Geoffrey Lewis, frequent co-star of Clint Eastwood, dies"
638,Erik Prince: ’This Is a War Against Their Paradigm’ - Breitbart.,Blackwater Founder Erik Prince: Jihadists ’at War with Us We Are Clearly Not at War with Them’
639,Officer Who Shot Black Driver in Tulsa Is Charged with Manslaughter.,Manslaughter Charge for Tulsa Officer Who Killed Black Driver
640,Ford Motor Co. Fast Facts.,The early days of Ford
641,Muslim Terrorist Michael Adebolajo Finds Lawyer.,"Terrorist Who Killed Lee Rigby Will Pursue £20,000 Lawsuit for Teeth Broken in Prison"
642,"The Rise of the Big Three: Growth, Tax, and the Economy.","The Economic Expansion Is Helping the Middle Class, Finally"
643,1963 March on Washington.,March on Washington Fast Facts
644,McEnroe Fast Facts.,John McEnroe Fast Facts
645,"Mark Cuban: If You Stand for America’s National Anthem, ’Just Make Sure You Understand What You’re Saying’ - Breitbart.",Mark Cuban Tells Mavericks Protesting National Anthem Okay With Him - Breitbart
646,Carson: Harriet Tubman Was a ’Good Thing’ for the Treasury - Breitbart.,Carson on Harriet Tubman Replacing Andrew Jackson on the $20 Bill: ’We Can Find Another Way to Honor Her’ - Breitbart
